"placeId","title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","address","permanentlyClosed","searchPageLoadedUrl"
"ChIJLcD0cUIvdTERqPElI7voFos","Ba Son Station","Bãi chờ tàu hỏa",,,,,,,,,,"Bãi chờ tàu hỏa","Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7792781,106.711197,17z?hl=vi&entry=ttu"
"ChIJhVoKJiQvdTERgTDgHl_sSUs","Khách sạn Renaissance Riverside Sài Gòn","Khách sạn","Dịch vụ lên kế hoạch cuộc họp","Địa điểm tổ chức lễ cưới",,,,,,,,"Khách sạn","15 Đ. Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7708375,106.7026056,17z?hl=vi&entry=ttu"
"ChIJGepn_UYvdTEReq9GxaQbiFc","Phố đi bộ Nguyễn Huệ",,,,,,,,,,,,"Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7708375,106.7026056,17z?hl=vi&entry=ttu"
"ChIJGwvWmd4pdTERQoI_Pd1IJbk","Xẻng - Mồi & Bia","Nhà hàng",,,,,,,,,,"Nhà hàng","22 Nguyễn Đình Chiểu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.7026056,17z?hl=vi&entry=ttu"
"ChIJD8TMf8sodTER3WI1EG8RAsc","CellphoneS","Cửa hàng điện thoại di động","Cửa hàng phụ kiện điện thoại di động","Cửa hàng máy tính",,,,,,,,"Cửa hàng điện thoại di động","55B Đ. Trần Quang Khải, P, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.6940142,17z?hl=vi&entry=ttu"
"ChIJ_yzv1bQodTER7hN4NV_cGXE","GEM Center","Trung tâm hội nghị",,,,,,,,,,"Trung tâm hội nghị","8 Nguyễn Bỉnh Khiêm, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.7026056,17z?hl=vi&entry=ttu"
"ChIJi-LfC8sodTERPQBZmVRDjvo","Phuc Long Coffee & Tea Express","Quán cà phê",,,,,,,,,,"Quán cà phê","197 Đ. Đinh Tiên Hoàng, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.6940142,17z?hl=vi&entry=ttu"
"ChIJt6bNo8oodTERh7ax4U6O7cQ","The Vintage Emporium Đa kao","Quán cà phê","Nhà hàng chuyên phục vụ bữa sáng",,,,,,,,,"Quán cà phê","95 Đ. Nguyễn Văn Thủ, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.7026056,17z?hl=vi&entry=ttu"
"ChIJYffbXBkpdTERjQgD7Syp7Tg","Chùa Ngọc Hoàng","Chùa phật giáo",,,,,,,,,,"Chùa phật giáo","73 Đ. Mai Thị Lựu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.6940142,17z?hl=vi&entry=ttu"
"ChIJAR6qDK0pdTERzfG4nesay30","TarZan Spa For Men","Spa đá nóng",,,,,,,,,,"Spa đá nóng","12/4B Đ. Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/@10.7877186,106.7026056,17z?hl=vi&entry=ttu"
