"placeId","title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","location/lat","location/lng","address","permanentlyClosed","url"
"ChIJs2WZrTYndTERH1SY8qtApks","20/22/24 Đường 160, phường Tăng Nhơn Phú A, Quận 9","Nhà trọ",,,,,,,,,"Nhà trọ","10.8378751","106.7897369","20/22/24 Đ. 160, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJs2WZrTYndTERH1SY8qtApks"
"ChIJ4-rJ8CkndTERdqit513H_0Y","Hoa Viên Quán 102","Nhà hàng",,,,,,,,,"Nhà hàng","10.8373801","106.78918","39/79C Đ. Số 102, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ4-rJ8CkndTERdqit513H_0Y"
"ChIJNWih_L0ndTERSHK396h7dtI","Nhà Nghỉ Hoàng Huân","Khách sạn","Nhà khách","Căn hộ được phục vụ",,,,,,,"Khách sạn","10.8372709","106.7916672","31/4e, Đ. 160, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJNWih_L0ndTERSHK396h7dtI"
"ChIJ74tMJ8wndTERmyWNvgd-5mE","Ẩm thực sân vườn lẩu bò Tuyền ký","Nhà hàng gia đình",,,,,,,,,"Nhà hàng gia đình","10.836903","106.7993104","277 Lã Xuân Oai, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ74tMJ8wndTERmyWNvgd-5mE"
"ChIJq6RyXxgndTER9c5JVlstP7E","Nhà hàng sinh thái Lúa","Nhà hàng",,,,,,,,,"Nhà hàng","10.8356019","106.7921841","19A, Đường 182, Lã Xuân Oai, Tăng Nhơn Phú A, Thành phố Thủ Đức, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJq6RyXxgndTER9c5JVlstP7E"
"ChIJlVwn4gIndTERpdrb54HuTjk","Hồ Câu Đài 236","Câu lạc bộ câu cá",,,,,,,,,"Câu lạc bộ câu cá","10.8352982","106.7980153","Cuối Đường 236, Phường Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJlVwn4gIndTERpdrb54HuTjk"
"ChIJnUF17P4ndTER7z3QdMT8z-k","Quán Bia Tuyết Bờ Sông 160","Nhà hàng",,,,,,,,,"Nhà hàng","10.8348842","106.7894584","291 Đ. 160, Thành phố, Thủ Đức, Thành phố Hồ Chí Minh 71207, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJnUF17P4ndTER7z3QdMT8z-k"
"ChIJPxtNdyQndTERYy8MDwER85M","Dịch Vụ Câu Cá Giải Trí A Lượm","Trung tâm vui chơi giải trí",,,,,,,,,"Trung tâm vui chơi giải trí","10.8343438","106.8001638","286/1 Lã Xuân Oai, P, TP. Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJPxtNdyQndTERYy8MDwER85M"
"ChIJoYDfFS0pdTERLxJzN4_bvgg","Cocoon","Cửa hàng mỹ phẩm",,,,,,,,,"Cửa hàng mỹ phẩm","10.8343207","106.7944331","50A Đường số 182, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJoYDfFS0pdTERLxJzN4_bvgg"
"ChIJjVpshg8ndTERZyzuUyCsTkw","Nhà hàng Hoa viên Ao Đôi","Nhà hàng",,,,,,,,,"Nhà hàng","10.8340532","106.7855953","1/174A Đình Phong Phú, Tăng Nhơn Phú B, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJjVpshg8ndTERZyzuUyCsTkw"
"ChIJHeJY_ZQndTERR6mYWRlR5XY","VTT Sports","Câu lạc bộ thể thao",,,,,,,,,"Câu lạc bộ thể thao","10.8339594","106.7936691","39 Đường số 182, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh 70000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJHeJY_ZQndTERR6mYWRlR5XY"
