,gPlusPlaceId,placename
0,106591714648856494903,Peking Chinese Restaurant
1,109420033090810328045,Firehouse Pizza
2,115827996910815192564,La Corona
3,108196901293702895067,Steeltown Coffee & Tea
4,111971088396054239194,Bluefin
5,101788547508969264434,Mariscos Ensenada
6,101959623187827102951,Charo Chicken
7,105242172534828461225,Los Primos Mexican Food
8,101634997104301806688,The Cheesecake Factory
9,118165048892915833083,Lotus Cafe & Juice Bar
10,112555091379349206292,Marie Callender's Restaurant & Bakery
11,108515752243431788197,Eagle Rock Brewery
12,117881696350248097736,Taqueria El Tapatio
13,109986372839986874635,Jimtown Store
14,109704906894562645441,Baja Fresh Mexican Grill
15,100556368174926958612,Gap
16,103732895939896117386,Macy's
17,105777991601449500815,Jamba Juice
18,113406287918688024660,Nordstrom San Francisco Centre
19,114207018058987661847,La Boulange
20,114964822538426146633,Sephora
21,117430349354635225073,Dressbarn
22,110645537147511930703,Rite Aid Pharmacy
23,103800897060890948933,Vito's
24,112557103166476485108,Burger Lounge West Hollywood
25,100579228371217498056,Big Louie's Pizzeria
26,105633029973436537906,Eagle Restaurant
27,102452878095089612889,Gloria's Mexican Restaurant
28,105657264855573028203,Safeway
29,116343726288101618746,Dishdash
30,100144085668867394452,Cafe Rio
31,101000986263104333991,Souplantation & Sweet Tomatoes
32,101207605995993629639,Tokyo Hibachi
33,101859461425306200350,BCD Tofu House
34,101867121039957793663,Angara Indian Restaurant
35,102767989046257047016,New York Deli 2
36,103283500068014464010,Picanha Churrascaria
37,103939407974255688238,Heritage Family Pantry
38,104217510384277425243,SUBWAY® Restaurants
39,105584716238632556406,Pizza Hut
40,105769281432457920964,Sunshine Cafe
41,105778894943668374046,John's Restaurant
42,105908102779572792636,Applebee's Inc
43,106273393084611637956,Jalama Beach Cafe
44,107105197794895284641,California Pizza Kitchen
45,108539933814924323697,Jongewaard's Bake n Broil
46,109272689285574338005,The Egg & I
47,109376867812661921903,STACKED
48,110261600280901761501,Coffee Cup Cafe
49,110293797161466635947,Sissy's Uptown Cafe
50,110520954941679049745,Naples Rib Company
51,110547089563365760745,BJ's Restaurant & Brewhouse
52,110606153784488780574,Yama Sushi
53,112319808320761067861,Fronk's Restaurant
54,113600929811105513658,Peris Restaurant
55,114065597723524995612,Pieloon
56,114151268409438704818,Eggs Etc
57,114170943910043737805,The Coffee Bean & Tea Leaf
58,114272921746699387804,Narai Thai Cuisine
59,114733193794460077701,Carrows Restaurant
60,115277932735641318797,Splash Cafe
61,115497444178531767640,Mother Hubbard's Restaurant
62,115739319556882663259,King Palace Buffet
63,117027804265846671257,Green Field Churrascaria
