,name,gPlusPlaceId,location/lat,location/lng,address,url,categories,categoryName,average_rating,average_predict_rating,total_rows
0,...,ChIJOVjvIgQpdTERXJPdZ33Js0U,10.8283996,106.668697,"385/33/23 Quang Trung, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/.../@10.8283996,106.668697,17z/data=!3m1!4b1!4m6!3m5!1s0x3175290422ef5839:0x45b3c97d67dd935c!8m2!3d10.8283996!4d106.668697!16s%2Fg%2F11g8vtxymg?hl=vi&entry=ttu",Sân bóng đá,Sân bóng đá,3.125,4.204263640626277,8
1,018 Cafe,ChIJXbidq_sudTERT6eTAa9jY1A,10.7551649,106.6676778,"Chung cư Nguyễn Trãi lô A, lô F, 18 Đ. Mạc Thiên Tích, Phường 8, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/018+Cafe/@10.7551649,106.6676778,17z/data=!3m1!4b1!4m6!3m5!1s0x31752efbab9db85d:0x506363af0193a74f!8m2!3d10.7551649!4d106.6676778!16s%2Fg%2F11cjk2ptqt?hl=vi&entry=ttu",Quán cà phê,Quán cà phê,3.3875,4.209629821080563,80
2,1 Dessert & Cafe,ChIJPZM8uVYpdTERLvi8c7WWMtU,10.79644,106.6857013,"277-279 Đ. Hoàng Sa, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh 71008, Việt Nam","https://www.google.com/maps/place/1+Dessert+%26+Cafe/@10.79644,106.6857013,17z/data=!3m1!4b1!4m6!3m5!1s0x31752956b93c933d:0xd53296b573bcf82e!8m2!3d10.79644!4d106.6857013!16s%2Fg%2F11vpsf77rc?hl=vi&entry=ttu",Quán cà phê,Quán cà phê,5.0,4.08794458736716,8
3,107 Đào Trí,ChIJURoww1QldTER88Iv5c-jK00,10.7365123,106.7397744,"107 Đ. Đào Trí, Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/107+%C4%90%C3%A0o+Tr%C3%AD/@10.7365123,106.7397744,17z/data=!3m1!4b1!4m6!3m5!1s0x31752554c3301a51:0x4d2ba3cfe52fc2f3!8m2!3d10.7365123!4d106.7397744!16s%2Fg%2F11fvxvyd68?hl=vi&entry=ttu",Nhà kho,Nhà kho,3.0,4.192525773370583,2
4,112/47 Bùi Quang Là,ChIJJahERngpdTER3I4syHxveS0,10.8339473,106.6385156,"RJMQ+HCC, Số 30, Phường 12, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/112%2F47+B%C3%B9i+Quang+L%C3%A0/@10.8339473,106.6385156,17z/data=!3m1!4b1!4m6!3m5!1s0x317529784644a825:0x2d796f7cc82c8edc!8m2!3d10.8339473!4d106.6385156!16s%2Fg%2F11b7vjn1t4?hl=vi&entry=ttu",Công ty,Công ty,4.5,4.242492378303417,2
5,115 Xuyên Việt,ChIJicIXAVAvdTERxQRxsl2eS7w,10.740158,106.6844606,"51 Lô C, Đ. Âu Dương Lân, P.3, Quận 8, Thành phố Hồ Chí Minh 700000, Việt Nam","https://www.google.com/maps/place/115+Xuy%C3%AAn+Vi%E1%BB%87t/@10.740158,106.6844606,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f500117c289:0xbc4b9e5db27104c5!8m2!3d10.740158!4d106.6844606!16s%2Fg%2F11q409sz20?hl=vi&entry=ttu",Dịch vụ cấp cứu,Dịch vụ cấp cứu,1.6666666666666667,4.277763186927469,6
6,115/15K Xuân Thới Thượng,ChIJX7og40ErdTERHJrlmK_fpaY,10.868113,106.5717582,"115/15K Xuân Thới Thượng, 20 ấp 5, Xuân Thới Thượng, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJX7og40ErdTERHJrlmK_fpaY,Khu tổ hợp công quản,Khu tổ hợp công quản,5.0,4.228725903818262,1
7,117 CAU CA GIAI TRI,ChIJo3Ug-00pdTERAOpP6p4csQo,10.867946,106.7036634,"VP93+5FF, Đ. Vĩnh Phú 17, Vĩnh Phú, Thuận An, Bình Dương, Việt Nam","https://www.google.com/maps/place/117+CAU+CA+GIAI+TRI/@10.867946,106.7036634,17z/data=!3m1!4b1!4m6!3m5!1s0x3175294dfb2075a3:0xab11c9eea4fea00!8m2!3d10.867946!4d106.7036634!16s%2Fg%2F11pghpr_tk?hl=vi&entry=ttu",Quán cà phê,Quán cà phê,4.0,4.200056876720037,4
8,136 BÙI văn BA,ChIJAyhKjIQldTERZjSpfQx36Y4,10.7496688,106.7320576,"14 Bùi Văn Ba, Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/136+BU%CC%80I+v%C4%83n+BA/@10.7496688,106.7320576,17z/data=!3m1!4b1!4m6!3m5!1s0x317525848c4a2803:0x8ee9770c7da93466!8m2!3d10.7496688!4d106.7320576!16s%2Fg%2F11fxdz1r6b?hl=vi&entry=ttu",Nhà hàng,Nhà hàng,3.735294117647059,4.184183965350214,34
9,18 Thôn Vườn Trầu,ChIJozikXU4qdTERv_bosQtKkgw,10.8449887,106.5955279,"85/1B, Tây Lân, Bà Điểm, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJozikXU4qdTERv_bosQtKkgw,Điểm mốc lịch sử,Điểm mốc lịch sử,4.071428571428571,3.954627243825845,42
10,194d Lý Thánh Tông,ChIJV4LKrqItdTERNuCTVdOGteQ,10.7675033,106.6234371,"QJ9F+293, Tân Thới Hoà, Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJV4LKrqItdTERNuCTVdOGteQ,Căn hộ nghỉ dưỡng cho thuê,Căn hộ nghỉ dưỡng cho thuê,5.0,4.172320901180497,2
11,1983 coffee & milktea,ChIJ17rhCJYpdTERgjpbxHMH4LY,10.8488797,106.6595511,"RMX5+GRV, Hẻm 109 Đ. Số 2, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/1983+coffee+%26+milktea/@10.8488797,106.6595511,17z/data=!3m1!4b1!4m6!3m5!1s0x3175299608e1bad7:0xb6e00773c45b3a82!8m2!3d10.8488797!4d106.6595511!16s%2Fg%2F11kpz66lmn?hl=vi&entry=ttu",Quán cà phê,Quán cà phê,5.0,4.218657206406648,17
12,1986 Tea | Coffee,ChIJy8HBXdEvdTERAxi19hwDRuo,10.7365389,106.6604168,"108 A Đ. Bùi Minh Trực, Phường 5, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/1986+Tea+%7C+Coffee/@10.7365389,106.6604168,17z/data=!3m1!4b1!4m6!3m5!1s0x31752fd15dc1c1cb:0xea46031cf6b51803!8m2!3d10.7365389!4d106.6604168!16s%2Fg%2F11f7fgrvv2?hl=vi&entry=ttu",Quán cà phê,Quán cà phê,4.703703703703703,4.139781402943518,27
13,1994 Store,ChIJiwTHH9nVdDERGtN4NGu1IHs,10.9078658,106.5933479,"12 Đ. Tân Hiệp 8-1, Tân Hiệp, Hóc Môn, Thành phố Hồ Chí Minh 700000, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJiwTHH9nVdDERGtN4NGu1IHs,Dịch vụ bảo mật máy tính,Dịch vụ bảo mật máy tính,5.0,4.167504992406533,8
14,1994s WATCH,ChIJMVr-1YMpdTERX_87JdtL-D8,10.8513865,106.6666098,"672/76 Đ. Thống Nhất, Phường 15, Gò Vấp, Thành phố Hồ Chí Minh 70000, Việt Nam","https://www.google.com/maps/place/1994s+WATCH/@10.8513865,106.6666098,17z/data=!3m1!4b1!4m6!3m5!1s0x31752983d5fe5a31:0x3ff84bdb253bff5f!8m2!3d10.8513865!4d106.6666098!16s%2Fg%2F11gh_mrcx4?hl=vi&entry=ttu",Cửa hàng đồng hồ,Cửa hàng đồng hồ,4.428571428571429,4.234020936506997,7
15,1997 BaeShop,ChIJVfenSegpdTERTH0fe1mHqO0,10.8179544,106.6916493,"107 Nguyên Hồng, Phường 1, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/1997+BaeShop/@10.8179544,106.6916493,17z/data=!3m1!4b1!4m6!3m5!1s0x317529e849a7f755:0xeda887597b1f7d4c!8m2!3d10.8179544!4d106.6916493!16s%2Fg%2F11jzfl_t32?hl=vi&entry=ttu",Cửa hàng,Cửa hàng,4.625,4.117433264457933,24
16,2 Đô Quán,ChIJT_07aismdTERU_WEUwVbs60,10.8265141,106.7284122,"80 Đ. Số 23, Khu phố 4, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/2+%C4%90%C3%B4+Qu%C3%A1n/@10.8265141,106.7284122,17z/data=!3m1!4b1!4m6!3m5!1s0x3175262b6a3bfd4f:0xadb35b055384f553!8m2!3d10.8265141!4d106.7284122!16s%2Fg%2F1pzv50sgn?hl=vi&entry=ttu","Nhà hàng, Gian hàng rong",Nhà hàng,3.907407407407408,4.197091540361115,54
17,2-Connect Vietnam,ChIJ8eEZHD4ndTERKWtSLyrYj1A,10.7911062,106.7572718,"QQR4+CWR, Phường Bình Trưng Tây, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ8eEZHD4ndTERKWtSLyrYj1A,Văn phòng công ty,Văn phòng công ty,4.0,4.24597144905986,1
18,254/98/10 Âu Cơ,ChIJgYveNc0udTERzEYqdgsE3p0,10.774983,106.6506986,"98/10 Đ. Âu Cơ, Phường 9, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/254%2F98%2F10+%C3%82u+C%C6%A1/@10.774983,106.6506986,17z/data=!3m1!4b1!4m6!3m5!1s0x31752ecd35de8b81:0x9dde040b762a46cc!8m2!3d10.774983!4d106.6506986!16s%2Fg%2F11bby4_b27?hl=vi&entry=ttu",Trung tâm nghệ thuật,Trung tâm nghệ thuật,3.6,4.212029596221589,5
19,255 FOOD GARDEN,ChIJOQxytXEpdTER_Lt-erW26kE,10.8385524,106.670288,"255A Nguyễn Văn Lượng, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 76000, Việt Nam","https://www.google.com/maps/place/255+FOOD+GARDEN/@10.8385524,106.670288,17z/data=!3m1!4b1!4m6!3m5!1s0x31752971b5720c39:0x41eab6b57a7ebbfc!8m2!3d10.8385524!4d106.670288!16s%2Fg%2F11lh5ffpdf?hl=vi&entry=ttu",Nhà hàng,Nhà hàng,4.0344827586206895,4.142154981978651,29
20,269 Coffee 24h,ChIJ4zycCtApdTERIvqWjIUHQns,10.8401708,106.6576642,"102/7 Lê Văn Thọ, Phường 9, Gò Vấp, Thành phố Hồ Chí Minh 700000, Việt Nam","https://www.google.com/maps/place/269+Coffee+24h/@10.8401708,106.6576642,17z/data=!3m1!4b1!4m6!3m5!1s0x317529d00a9c3ce3:0x7b4207858c96fa22!8m2!3d10.8401708!4d106.6576642!16s%2Fg%2F11h5mf95bc?hl=vi&entry=ttu",Quán cà phê internet,Quán cà phê internet,4.0285714285714285,4.132641278883509,35
