abbreviation,meaning
dấu bé 3,<3
dấu bé ba,<3
ă,á
â,á
ák,á
ế,á
í,á
àh,à
ak,à
àk,à
òh,à
uh,à
ạh,ạ
nạ,ạ
ợ,ạ
adidaphat,a di đà phật
adu,á đù
a&f,abercrombie & fitch
anlonroi,ăn lồn rồi
annd,an ninh nhân dân
asxh,an sinh xã hội
a,anh
ank,anh
bro,anh
broh,anh
ãnh,ảnh
a/c,anh chị
ac,anh chị
ảnh cap,ảnh chụp màn hình
avt,ảnh đại diện
ae,anh em
anhem,anh em
ahbp,anh hùng bàn phím
av,anh văn
ộp pa,anh yêu
oppa,anh yêu
atsm,ảo tưởng sức mạnh
stress,áp lực
xì choét,áp lực
xì trét,áp lực
ars,arsenal
ái zà,ấy chà
be,ba
pa,ba
bã,bà ấy
bả,bà ấy
3me,ba mẹ
///,ba que
3 que,ba que
3/,ba que
3///,ba que
3que,ba que
3 gar,ba rọi béo
3 goà,ba rọi béo
a3,ba rọi béo
aba,ba rọi béo
abe,ba rọi béo
anh 3,ba rọi béo
anh bar,ba rọi béo
anh be,ba rọi béo
ba gà,ba rọi béo
ba roi,ba rọi béo
bagà,ba rọi béo
baroibeo,ba rọi béo
bé ba,ba rọi béo
chi 3,ba rọi béo
chị 3,ba rọi béo
chị ba,ba rọi béo
cô 3,ba rọi béo
cô ba,ba rọi béo
dì ba,ba rọi béo
già ba,ba rọi béo
me ba,ba rọi béo
thầy ba,ba rọi béo
boác,bác
silver,bạc
backinh,bắc kinh
bac kj,bắc kỳ
bake,bắc kỳ
pake,bắc kỳ
bồn kỳ lắc,bắc kỳ lồn
bạck,bạch
bổn,bản
b,bạn
bạng,bạn
fen,bạn
lỉ,bạn
pạn,bạn
bb,bạn bè
bgk,ban giám khảo
bằg,bằng
bvs,băng vệ sinh
báh,bánh
pảnh,bảnh
pảnk,bảnh
bĩu,bảo
report,báo cáo
rp,báo cáo
bcs,bao cao su
bao h,bao giờ
bjo,bao giờ
bhxh,bảo hiểm xã hội
bnhieu,bao nhiêu
bnhiu,bao nhiêu
bve,bảo vệ
bat,bắt
pắt,bắt
bđ,bắt đầu
bđs,bất động sản
bắt lạt,bắt nạt
bầy đàng,bầy đàn
bây g,bây giờ
bg,bây giờ
bgio,bây giờ
bh,bây giờ
pé,bé
3d,bê đê
bede,bê đê
beđe,bê đê
bêđê,bê đê
bơ đơ,bê đê
pe de,bê đê
beh,bệnh
ben10,benten
bj,bị
biếc,biết
bik,biết
bík,biết
bit,biết
bít,biết
bjt,biết
bk,biết
pik,biết
pít,biết
pt,biết
logo,biểu tượng
bdân,bình dân
cmt,bình luận
comment,bình luận
blv,bình luận viên
bth,bình thường
bthg,bình thường
pò,bò
pô,bô
pố,bố
bõ,bỏ
bdg,bộ giáo dục
bgdđt,bộ giáo dục đào tạo
bame,bố mẹ
bme,bố mẹ
bome,bố mẹ
bm,bỏ mẹ
botay,bó tay
pó tay,bó tay
bọ chưởng,bộ trưởng
bô sa,bolsa
bon sa,bolsa
bôn sa,bolsa
bmay,bọn mày
bno,bọn nó
póng,bóng
pro,bro
bucu,bú cặc
bus cu,bú cu
buk,bực
qạo,bực tức
quạu,bực tức
wuạo,bực tức
burn real,bún riêu
xù,bùng
bưg,bưng
bụg,bụng
bùi,buồi
puồi,buồi
bũi,buổi
buốn,buồn
puồn,buồn
bcuoi,buồn cười
pút,bút
cakhia,cà khịa
cf,cà phê
cfe,cà phê
ca tàn,cà tàng
***,cặc
b**i,cặc
c**,cặc
cak,cặc
cặt,cặc
cật,cặc
cec,cặc
cẹc,cặc
cẹt,cặc
kặc,cặc
kẹc,cặc
các bẹn,các bạn
cacban,các bạn
cmang,cách mạng
caj,cái
kai,cái
kéi,cái
cdb,cái đầu buồi
cđb,cái đầu buồi
cdg,cái đéo gì
what the fuck,cái đéo gì thế
wtf,cái đéo gì thế
caiditmemay,cái địt mẹ mày
cdmm,cái địt mẹ mày
cgi,cái gì
nà ni,cái gì
nà ní,cái gì
cailon,cái lồn
cailoz,cái lồn
cl,cái lồn
cailoncat,cái lồn cát
cailoncatkhong,cái lồn cát không
cailozcatkhong,cái lồn cát không
clg,cái lồn gì
clj,cái lồn gì
clgt,cái lồn gì thế
clgv,cái lồn gì vậy
cljv,cái lồn gì vậy
clm,cái lồn mẹ
clmn,cái lồn mẹ nó
cmg,cái mẹ gì
cà khịa,cãi vã
cbcs,cán bộ cảnh sát
càg,càng
csbv,cảnh sát bảo vệ
cscđ,cảnh sát cơ động
csgt,cảnh sát giao thông
cspccc,cảnh sát phòng cháy chữa cháy
kout,cao
level,cấp
lv,cấp
cạu,cậu
clb,câu lạc bộ
chs,chả hiểu sao
Chăk,chắc
choán,chán
hi,chào
hj,chào
accept,chấp nhận
acp,chấp nhận
ckat,chất
trất,chất
truất,chất
chít,chết
chớt,chết
cht,chết
chetme,chết mẹ
cm,chết mẹ
cmm,chết mẹ mày
cmnr,chết mẹ nó rồi
chj,chị
chuỵ,chị
chụy,chị
cị,chị
cj,chị
sister,chị
xị,chị
c i,chị ấy
cô ba vàng,chị ba vàng ngọc
